;efficiency;marginal_cost;p_nom;carrier;p_max_pu
4913 biomass;0.46999999999999986;14.8936170212766;11.463;biomass;1.0
4913 onwind;1.0;2.0;129.757793881274;onshore wind;0.11983244024795542
4913 ror;0.9;3.0;0.14400000000000002;run of river;0.6608531105671127
4913 solar;1.0;1.0;128.52899411501602;solar;0.29185346149545094
4915 biomass;0.46999999999999975;14.89361702127659;28.2988;biomass;1.0
4915 oil;0.3971;131.91286829513976;24.8;oil;1.0
4915 onwind;1.0;2.0;281.0302740227056;onshore wind;0.08765432448971265
4915 ror;0.9;3.0;0.136;run of river;0.6608531105671129
4915 solar;1.0;1.0;266.0764358924401;solar;0.5257996099763291
4917 biomass;0.4699999999999998;14.8936170212766;2.72127;biomass;1.0
4917 onwind;1.0;2.0;8.806063322437716;onshore wind;0.10778859822737974
4917 solar;1.0;1.0;60.390293227315325;solar;0.389735718451068
4918 CCGT;0.5357258034894399;41.73032360999674;954.5;CCGT;1.0
4918 OCGT;0.3751;58.085710477206085;11.5;OCGT;1.0
4918 biomass;0.4699999999999998;14.893617021276603;55.254000000000005;biomass;1.0
4918 onwind;1.0;2.0;136.521988134393;onshore wind;0.13625984964526633
4918 solar;1.0;1.0;184.49025059678345;solar;0.5225004910362679
4920 CCGT;0.5535;40.51436314363144;11.96;CCGT;1.0
4920 OCGT;0.3937999999999999;55.541137633316424;12.5;OCGT;1.0
4920 biomass;0.46999999999999986;14.893617021276597;2.632;biomass;1.0
4920 onwind;1.0;2.0;7.129646419366454;onshore wind;0.12886902846425405
4920 solar;1.0;1.0;102.05085432313594;solar;0.5304005338501627
4923 biomass;0.4699999999999999;14.893617021276597;1.284;biomass;1.0
4923 nuclear;0.33;11.378787878787879;1402.0;nuclear;1.0
4923 onwind;1.0;2.0;6.6192992009154175;onshore wind;0.16610421057992839
4923 solar;1.0;1.0;54.57066939386274;solar;0.50057409363722
4924 biomass;0.46999999999999986;14.893617021276599;6.3790000000000004;biomass;1.0
4924 onwind;1.0;2.0;0.5177505292898573;onshore wind;0.1316811500815682
4924 solar;1.0;1.0;54.807760286077055;solar;0.5261179572398801
4925 onwind;1.0;2.0;1.2655388777319756;onshore wind;0.1562219086250675
4925 solar;1.0;1.0;29.939634998571766;solar;0.4737736769881141
4930 biomass;0.4700000000000001;14.893617021276606;13.243999999999998;biomass;1.0
4930 onwind;1.0;2.0;7.513102524151536;onshore wind;0.16053944454769414
4930 ror;0.9;3.0;0.06;run of river;0.6608531105671128
4930 solar;1.0;1.0;119.56231603246897;solar;0.3258297720612931
4931 biomass;0.47;14.893617021276604;16.4631;biomass;1.0
4931 coal;0.33030000000000004;28.174558653687512;1228.9419630987113;coal;1.0
4931 nuclear;0.33;11.378787878787879;1320.0;nuclear;1.0
4931 onwind;1.0;2.0;59.281331415035794;onshore wind;0.16767874645873876
4931 ror;0.9;3.0;3.827;run of river;0.6608531105671129
4931 solar;1.0;1.0;286.6387353504753;solar;0.31074735079867016
4932 biomass;0.47;14.893617021276606;16.301299999999994;biomass;1.0
4932 onwind;1.0;2.0;140.28284348793312;onshore wind;0.13030312710946795
4932 solar;1.0;1.0;162.57269185852508;solar;0.1983946818675972
4937 biomass;0.47000000000000014;14.893617021276608;9.307;biomass;1.0
4937 onwind;1.0;2.0;16.613878025025357;onshore wind;0.1661654876190121
4937 solar;1.0;1.0;157.31567053061565;solar;0.18362316084617594
4938 biomass;0.46999999999999936;14.89361702127661;71.7675;biomass;1.0
4938 onwind;1.0;2.0;369.81547265573425;onshore wind;0.14583552088408291
4938 ror;0.9000000000000002;3.0;1.6400000000000003;run of river;0.6608531105671127
4938 solar;1.0;1.0;445.00394085931316;solar;0.18174922538838548
4941 OCGT;0.3847754098360656;56.73826545611023;122.0;OCGT;1.0
4941 biomass;0.47000000000000014;14.893617021276608;15.144119999999997;biomass;1.0
4941 onwind;1.0;2.0;118.33236284139545;onshore wind;0.10836287984050841
4941 solar;1.0;1.0;288.6700810887172;solar;0.24388226755919445
4942 biomass;0.4699999999999998;14.893617021276604;69.6696;biomass;1.0
4942 coal;0.33;28.196969696969695;26.73617174033205;coal;1.0
4942 onwind;1.0;2.0;468.619288356963;onshore wind;0.10075144429130405
4942 ror;0.9;3.0;60.949000000000005;run of river;0.6608531105671127
4942 solar;1.0;1.0;802.0261850464656;solar;0.21185619422920127
4944 biomass;0.4700000000000002;14.893617021276608;25.124000000000002;biomass;1.0
4944 onwind;1.0;2.0;64.01098329034882;onshore wind;0.08575061754272392
4944 ror;0.9;3.0;0.075;run of river;0.6608531105671128
4944 solar;1.0;1.0;188.07491804678392;solar;0.055767258789269754
4945 OCGT;0.3927;55.684110007639426;57.0;OCGT;1.0
4945 biomass;0.4699999999999996;14.893617021276583;30.386000000000003;biomass;1.0
4945 onwind;1.0;2.0;144.6122192082177;onshore wind;0.0960478462308224
4945 ror;0.9;3.0;0.066;run of river;0.6608531105671128
4945 solar;1.0;1.0;355.3209764722291;solar;0.06849515112653388
4946 biomass;0.46999999999999964;14.893617021276587;21.2282;biomass;1.0
4946 onwind;1.0;2.0;113.38944186316901;onshore wind;0.09573560976771713
4946 ror;0.9000000000000001;3.0;0.995;run of river;0.6608531105671128
4946 solar;1.0;1.0;290.2942483639;solar;0.049935169106141895
4947 biomass;0.46999999999999975;14.89361702127659;26.3725;biomass;1.0
4947 onwind;1.0;2.0;81.97011649105315;onshore wind;0.09116829552631786
4947 ror;0.9;3.0;0.262;run of river;0.6608531105671128
4947 solar;1.0;1.0;119.82511764282633;solar;0.05249641086024111
4948 biomass;0.46999999999999903;14.893617021276523;150.45495;biomass;1.0
4948 onwind;1.0;2.0;250.66150344790242;onshore wind;0.08511908077680999
4948 ror;0.9;3.0;29.293;run of river;0.6608531105671128
4948 solar;1.0;1.0;849.268556289415;solar;0.12249230005346963
4949 CCGT;0.5625;39.93333333333334;181.0;CCGT;1.0
4949 biomass;0.4699999999999998;14.89361702127659;25.545499999999997;biomass;1.0
4949 onwind;1.0;2.0;34.73349497161786;onshore wind;0.07974334923087925
4949 ror;0.9;3.0;1.594;run of river;0.6608531105671128
4949 solar;1.0;1.0;230.16785963940225;solar;0.06113743753557259
5622 biomass;0.47000000000000014;14.893617021276608;16.5277;biomass;1.0
5622 offwind-ac;1.0;2.0;104.49570261437799;offshore wind;0.19004033345455465
5622 offwind-dc;1.0;2.0;24.591956614998033;offshore wind;0.31703307880092774
5622 onwind;1.0;2.0;268.2409670020057;onshore wind;0.09612952208084763
5622 solar;1.0;1.0;241.34391837418096;solar;0.06995509229685036
5678 offwind-ac;1.0;2.0;28.47077116008573;offshore wind;0.2050723699454888
5678 offwind-dc;1.0;2.0;36.754004147019195;offshore wind;0.28586451068559704
5679 OCGT;0.3784;57.618393234672304;67.9;OCGT;1.0
5679 biomass;0.46999999999999936;14.89361702127661;66.9205;biomass;1.0
5679 offwind-ac;1.0;2.0;1.3901282544196376;offshore wind;0.05958849651663813
5679 onwind;1.0;2.0;188.73664509087962;onshore wind;0.0
5679 ror;0.9;3.0;0.305;run of river;0.6608531105671129
5679 solar;1.0;1.0;271.9092851986036;solar;0.11606405134263775
5685 CCGT;0.522;42.70574712643678;108.0;CCGT;1.0
5685 biomass;0.47;14.893617021276603;27.740000000000002;biomass;1.0
5685 coal;0.33;28.196969696969695;509.83113697943537;coal;1.0
5685 offwind-ac;1.0;2.0;331.29894756870976;offshore wind;0.10596727259753319
5685 onwind;1.0;2.0;491.2086259935966;onshore wind;0.04889694633710819
5685 solar;1.0;1.0;284.4144486735812;solar;0.14601749249726137
5687 biomass;0.46999999999999975;14.89361702127659;24.597;biomass;1.0
5687 onwind;1.0;2.0;399.54107815586156;onshore wind;0.0
5687 solar;1.0;1.0;217.85329779942518;solar;0.0682249772000086
5689 OCGT;0.3784;57.618393234672304;13.2;OCGT;1.0
5689 biomass;0.46999999999999936;14.89361702127661;193.4203999999999;biomass;1.0
5689 onwind;1.0;2.0;802.4479643893947;onshore wind;0.0
5689 solar;1.0;1.0;315.2159700873575;solar;0.058402750032812846
5691 biomass;0.47;14.893617021276599;65.16000000000001;biomass;1.0
5691 onwind;1.0;2.0;720.4854640016672;onshore wind;0.0
5691 ror;0.9;3.0;0.17;run of river;0.6608531105671128
5691 solar;1.0;1.0;409.8743211290265;solar;0.042806392761087435
5693 CCGT;0.5265;42.37663817663818;75.0;CCGT;1.0
5693 biomass;0.46999999999999953;14.893617021276581;58.05065;biomass;1.0
5693 onwind;1.0;2.0;749.304917955785;onshore wind;0.0
5693 solar;1.0;1.0;409.1028598639478;solar;0.04604953017202267
5695 OCGT;0.3820666666666666;57.16482196613754;67.8;OCGT;1.0
5695 biomass;0.46999999999999975;14.893617021276588;29.897999999999996;biomass;1.0
5695 offwind-ac;1.0;2.0;373.7134220120554;offshore wind;0.06232183628532401
5695 onwind;1.0;2.0;371.60617601454356;onshore wind;0.04887371660047547
5695 solar;1.0;1.0;246.23064923815866;solar;0.05907595916855307
